timestamp,open,high,low,close,adjusted close,volume,dividend amount
2020-03-27,130.7500,136.0950,90.5600,108.0300,108.0300,177680385,0.0000
2020-02-28,144.2500,158.7500,126.3600,130.1500,130.1500,118092333,1.6200
2020-01-31,135.0000,145.7900,133.2000,143.7300,142.2281,112864967,0.0000
2019-12-31,134.4500,136.4200,130.6890,134.0400,132.6393,71661951,0.0000
2019-11-29,134.5000,139.1350,132.7500,134.4500,133.0451,64898948,1.6200
2019-10-31,145.5900,147.3500,130.9000,133.7300,130.7937,92647927,0.0000
2019-09-30,134.8500,146.5700,133.3301,145.4200,142.2270,62083780,0.0000
2019-08-30,148.9000,152.9500,128.8300,135.5300,132.5542,96719129,1.6200
2019-07-31,139.6000,151.9400,139.1300,148.2400,143.3278,80175943,0.0000
2019-06-28,127.1000,140.1500,127.0600,137.9000,133.3304,61342985,0.0000
2019-05-31,140.5500,141.8100,126.8500,126.9900,122.7820,75537897,1.6200
2019-04-30,141.5100,145.3900,136.2600,140.2700,134.0177,80199229,0.0000
2019-03-29,139.3100,142.1200,133.5800,141.1000,134.8107,74688899,0.0000
2019-02-28,134.9700,140.4900,132.1200,138.1300,131.9731,68462024,1.5700
2019-01-31,112.0100,135.4149,111.6900,134.4200,126.9322,120388583,0.0000
2018-12-31,125.6700,126.5900,105.9400,113.6700,107.3381,115600988,0.0000
2018-11-30,115.5000,125.0600,114.5384,124.2700,117.3476,141719180,1.5700
2018-10-31,151.7100,154.3600,114.0900,115.4300,107.6305,198093801,0.0000
2018-09-28,145.9800,153.3500,144.8100,151.2100,140.9928,95868702,0.0000
2018-08-31,144.7600,147.9300,142.0000,146.4800,136.5825,79196876,1.5700
2018-07-31,138.2800,150.5400,138.2000,144.9300,133.6874,95015127,0.0000
2018-06-29,142.4300,147.5200,137.4500,139.7000,128.8631,90243111,0.0000
2018-05-31,144.6500,146.2040,139.9000,141.3100,130.3482,88812832,1.5700
2018-04-30,153.3400,162.0000,144.1110,144.9600,132.2590,122893135,0.0000
2018-03-29,155.5300,162.1122,148.5410,153.4300,139.9869,92113147,0.0000
2018-02-28,163.1900,164.1300,144.3955,155.8300,142.1766,100673819,1.5000
2018-01-31,154.5000,171.1300,153.5400,163.7000,147.8544,140197975,0.0000
2017-12-29,154.4000,157.8500,151.4900,153.4200,138.5694,87525752,0.0000
2017-11-30,154.1000,154.9000,146.2110,153.9700,139.0662,89212953,1.5000
2017-10-31,145.3500,162.5100,145.2100,154.0600,137.7725,121490046,0.0000
2017-09-29,142.9800,147.4200,141.6400,145.0800,129.7419,77056229,0.0000
2017-08-31,145.0000,145.3900,139.1300,143.0300,127.9086,79260314,1.5000
2017-07-31,153.5800,156.0250,143.6400,144.6700,128.0239,91242021,0.0000
2017-06-30,152.8000,157.2000,150.8000,153.8300,136.1299,82652760,0.0000
2017-05-31,160.0500,160.4200,149.7900,152.6300,135.0680,102455942,1.5000
2017-04-28,173.8200,176.3300,159.6000,160.2900,140.4698,80758989,0.0000
2017-03-31,180.4800,182.5500,172.0937,174.1400,152.6072,79476385,0.0000
2017-02-28,175.0000,182.7900,172.8900,179.8200,157.5848,59817600,1.4000
2017-01-31,167.0000,179.2500,165.3400,174.5200,151.7344,88671370,0.0000
2016-12-30,161.9500,169.9520,158.3000,165.9900,144.3181,69463793,0.0000
2016-11-30,153.5000,164.6600,151.0000,162.2200,141.0403,76340912,1.4000
2016-10-31,158.0600,158.5300,147.7900,153.6900,132.4291,78325840,0.0000
2016-09-30,158.3200,165.0000,153.2100,158.8500,136.8753,69951563,0.0000
2016-08-31,160.6500,164.9500,157.8500,158.8800,136.9012,69680582,1.4000
2016-07-29,152.1900,163.6000,149.9200,160.6200,137.2150,69930927,0.0000
2016-06-30,153.0000,155.4800,142.5000,151.7800,129.6631,77115961,0.0000
2016-05-31,146.5600,153.8100,142.9000,153.7400,131.3375,75248178,1.4000
2016-04-29,150.5100,153.5200,142.6100,145.9400,123.5002,94431134,0.0000
2016-03-31,132.2400,153.1000,132.0300,151.4500,128.1630,105698603,0.0000
2016-02-29,124.4000,134.9200,116.9010,131.0300,110.8828,106703104,1.3000
2016-01-29,135.6000,136.8900,118.0000,124.7900,104.5321,126204196,0.0000
2015-12-31,139.5800,141.4000,133.9100,137.6200,115.2793,97650594,0.0000
2015-11-30,140.5000,142.8000,131.6500,139.4200,116.7871,85421426,1.3000
2015-10-30,145.3100,153.1470,137.3300,140.0800,116.2468,120622363,0.0000
2015-09-30,144.9100,149.6800,141.1501,144.9700,120.3049,81761648,0.0000
2015-08-31,161.7000,161.8500,140.6200,147.8900,122.7281,93750967,1.3000
2015-07-31,163.9700,173.7800,158.5000,161.9900,133.3204,93805392,0.0000
2015-06-30,170.2100,171.5601,162.1200,162.6600,133.8718,80845501,0.0000
2015-05-29,173.2000,176.3000,168.8400,169.6500,139.6247,57916093,1.3000
2015-04-30,160.2300,175.1303,158.3900,171.2900,139.9049,93821213,0.0000
2015-03-31,161.6800,165.3500,153.4000,160.5000,131.0919,104899758,0.0000
